5 12183.7
-11.8174 -1.69163  0.000450692 0.0386052 -0.955176 -0.198225 
-11.8412 -1.41691  0.000488223 0.039128 -0.966683 -0.131988 
-11.855 -1.16321  0.000531155 0.0396904 -0.971917 -0.0835685 
-11.8607 -0.936464  0.00057244 0.0401999 -0.97424 -0.0423251 
-11.862 -0.721957  0.000590753 0.0404171 -0.974988 -0.00197084 
-11.8602 -0.508696  0.000584604 0.0403447 -0.97429 0.0379304 
-11.8543 -0.285745  0.000555501 0.0399943 -0.972129 0.0777328 
-11.8409 -0.0389753  0.000529032 0.0396633 -0.967229 0.124018 
-11.8188 0.224265  0.000505775 0.0393622 -0.9569 0.185717 
-11.6325 -2.3008  0.000525242 0.039615 -0.925476 -0.307832 
-11.6523 -2.09493  0.000634365 0.0409148 -0.939044 -0.261836 
-11.6661 -1.89047  0.00073859 0.0420078 -0.946524 -0.230243 
-11.6787 -1.66629  0.000873525 0.0432626 -0.953904 -0.189802 
-11.6924 -1.41727  0.000955761 0.0439574 -0.962215 -0.136476 
-11.701 -1.17827  0.00104711 0.0446784 -0.966727 -0.092156 
-11.7051 -0.951394  0.00112526 0.0452586 -0.969191 -0.0493665 
-11.7062 -0.728603  0.00116387 0.0455341 -0.970138 -0.00503746 
-11.7051 -0.507787  0.00116194 0.0455206 -0.969477 0.0386373 
-11.7014 -0.286955  0.00111887 0.0452124 -0.96746 0.0793727 
-11.6942 -0.0588542  0.00106285 0.044798 -0.963781 0.119897 
-11.6833 0.175013  0.00101471 0.0444283 -0.957194 0.166951 
-11.6735 0.386904  0.000910594 0.0435817 -0.951139 0.203788 
-11.6635 0.577903  0.00081932 0.0427773 -0.944962 0.232794 
-11.6505 0.762234  0.000721445 0.0418363 -0.935154 0.269558 
-11.4136 -2.90971  0.000466013 0.0388223 -0.880992 -0.418704 
-11.448 -2.69878  0.000607269 0.0406087 -0.900376 -0.373949 
-11.4645 -2.51165  0.000762875 0.0422456 -0.909192 -0.349424 
-11.4777 -2.31482  0.000986674 0.0442071 -0.918308 -0.318249 
-11.4951 -2.09345  0.0011979 0.0457713 -0.931706 -0.269816 
-11.5098 -1.87069  0.00138159 0.0469706 -0.941648 -0.227202 
-11.5218 -1.64541  0.00156023 0.0480265 -0.949664 -0.184606 
-11.5326 -1.41496  0.00170027 0.0487921 -0.956599 -0.140125 
-11.5404 -1.18846  0.00183906 0.0495051 -0.96119 -0.0981513 
-11.5449 -0.963715  0.00194744 0.0500333 -0.964113 -0.0546251 
-11.5466 -0.739098  0.00201185 0.0503355 -0.965338 -0.00965239 
-11.5457 -0.517215  0.00203692 0.0504531 -0.964745 0.0343654 
-11.5425 -0.300761  0.00201615 0.0503557 -0.962661 0.0749919 
-11.5373 -0.0886016  0.0019581 0.0500833 -0.95942 0.111766 
-11.5308 0.121664  0.00189107 0.0497616 -0.954783 0.148153 
-11.5245 0.324569  0.0017855 0.0492349 -0.949534 0.182571 
-11.5183 0.519853  0.00165808 0.0485666 -0.943781 0.214355 
-11.5116 0.710948  0.00151182 0.0477498 -0.935656 0.251247 
-11.507 0.886927  0.0012982 0.046442 -0.928372 0.281922 
-11.5008 1.05199  0.00109399 0.0450302 -0.922111 0.304457 
-11.483 1.22895  0.000933489 0.0437738 -0.911818 0.333025 
-11.151 -3.41156  0.000442212 0.0384825 -0.830583 -0.511563 
-11.2083 -3.18148  0.000594021 0.0404553 -0.853469 -0.471807 
-11.2402 -2.97152  0.000832471 0.0428973 -0.8659 -0.44418 
-11.2666 -2.75747  0.00112266 0.0452398 -0.882421 -0.404078 
-11.288 -2.54696  0.00139784 0.0470708 -0.896818 -0.365836 
-11.3075 -2.33347  0.00168674 0.0487203 -0.909326 -0.328082 
-11.33 -2.10602  0.0019708 0.0501429 -0.923188 -0.282042 
-11.351 -1.87708  0.00224756 0.0513883 -0.935082 -0.236332 
-11.3685 -1.65063  0.00250453 0.0524444 -0.944649 -0.191787 
-11.3826 -1.42528  0.00272498 0.0532843 -0.952148 -0.147873 
-11.3929 -1.20104  0.00292047 0.0539898 -0.957495 -0.104346 
-11.3994 -0.976336  0.0030706 0.0545059 -0.960966 -0.0597806 
-11.4022 -0.752238  0.00317743 0.0548596 -0.962472 -0.0151284 
-11.4013 -0.531618  0.00325191 0.0551024 -0.962004 0.0282046 
-11.3973 -0.317355  0.00328455 0.0552065 -0.959857 0.0688539 
-11.3909 -0.110856  0.0032673 0.0551515 -0.956447 0.10574 
-11.3831 0.0888339  0.00321594 0.0549871 -0.951989 0.139526 
-11.3748 0.281952  0.00313121 0.0547065 -0.946786 0.170841 
-11.3669 0.469377  0.00301677 0.0543211 -0.941131 0.199844 
-11.3607 0.65149  0.00288621 0.0538675 -0.934802 0.228742 
-11.3585 0.823148  0.00268637 0.0531412 -0.928753 0.255762 
-11.3596 0.985287  0.00240503 0.0520462 -0.923654 0.278668 
-11.3579 1.15096  0.0020889 0.0506892 -0.917216 0.303617 
-11.3471 1.32986  0.00179732 0.0492951 -0.907181 0.334508 
-11.3249 1.51507  0.0015841 0.0481605 -0.891204 0.372557 
-10.922 -3.69039  0.000530434 0.0396812 -0.789221 -0.573177 
-10.987 -3.45009  0.000783701 0.0424451 -0.816018 -0.530872 
-11.0329 -3.21838  0.00110172 0.0450872 -0.838457 -0.489413 
-11.0609 -3.00706  0.00145807 0.0474346 -0.853277 -0.4578 
-11.0875 -2.79535  0.00184652 0.0495421 -0.869035 -0.422032 
-11.117 -2.57818  0.00223457 0.0513321 -0.885917 -0.381529 
-11.1472 -2.35684  0.00261678 0.0528787 -0.901744 -0.339483 
-11.1768 -2.13038  0.00298945 0.0542272 -0.916346 -0.295315 
-11.2035 -1.90216  0.00337428 0.0554929 -0.928917 -0.25032 
-11.2259 -1.6741  0.00374896 0.0566187 -0.939391 -0.204552 
-11.2439 -1.44657  0.00408277 0.0575523 -0.947684 -0.158589 
-11.2572 -1.21931  0.00436943 0.0583059 -0.95377 -0.112534 
-11.2659 -0.992529  0.00459907 0.0588837 -0.957713 -0.0665532 
-11.2698 -0.767694  0.00478327 0.0593303 -0.959511 -0.021469 
-11.2691 -0.54712  0.00493599 0.0596906 -0.959258 0.0219369 
-11.2646 -0.333118  0.00505018 0.0599557 -0.957234 0.0629167 
-11.2571 -0.127326  0.00511353 0.0600994 -0.953829 0.100635 
-11.2476 0.0693964  0.0051306 0.0601377 -0.949423 0.134577 
-11.2373 0.256807  0.00511115 0.060094 -0.944392 0.164566 
-11.2273 0.434416  0.00506298 0.0599855 -0.939212 0.190096 
-11.2192 0.602151  0.00500161 0.059843 -0.933998 0.212273 
-11.2151 0.758862  0.00488815 0.0595795 -0.928978 0.23212 
-11.2165 0.90521  0.00464473 0.0589973 -0.924537 0.250088 
-11.2228 1.04708  0.00422825 0.0579403 -0.92081 0.267063 
-11.2301 1.19466  0.00369856 0.0564734 -0.916843 0.285876 
-11.2329 1.35577  0.00321643 0.0549887 -0.910107 0.311052 
-11.2306 1.52049  0.00280499 0.0535778 -0.89809 0.345535 
-10.7243 -3.90743  0.000648722 0.0410729 -0.758307 -0.612175 
-10.7781 -3.68593  0.000969783 0.0440714 -0.783766 -0.57527 
-10.8241 -3.4567  0.00136137 0.0468447 -0.806068 -0.537857 
-10.8603 -3.23828  0.00182835 0.0494514 -0.824859 -0.503294 
-10.8921 -3.03036  0.00232765 0.0517259 -0.842126 -0.470071 
