8.75 12241.8
-15.4277 -2.43249  9.10618e-05 0.0300995 -0.967534 -0.195254 
-15.4939 -1.92006  8.80717e-05 0.0299554 -0.978062 -0.136648 
-15.5272 -1.48863  9.29583e-05 0.0301888 -0.983611 -0.0883909 
-15.543 -1.10074  9.82042e-05 0.0304289 -0.986526 -0.0440108 
-15.5477 -0.731916  0.000101354 0.0305684 -0.987444 -0.00278937 
-15.543 -0.365952  0.000101473 0.0305736 -0.98671 0.0378388 
-15.5281 0.012092  9.89352e-05 0.0304616 -0.984164 0.0803608 
-15.4976 0.425649  9.55227e-05 0.0303075 -0.979319 0.126091 
-15.4378 0.911462  9.96684e-05 0.0304943 -0.970505 0.179018 
-15.1267 -3.47499  9.0788e-05 0.0300864 -0.936488 -0.31321 
-15.2058 -3.07326  0.000105963 0.0307667 -0.951697 -0.263498 
-15.2436 -2.76818  0.000122987 0.031446 -0.958962 -0.234133 
-15.2901 -2.36883  0.000157587 0.03263 -0.968829 -0.182921 
-15.3331 -1.94021  0.000165175 0.0328627 -0.975455 -0.142987 
-15.3596 -1.53491  0.000178478 0.0332527 -0.980777 -0.096783 
-15.3745 -1.14173  0.000190256 0.0335815 -0.983952 -0.0509697 
-15.3799 -0.751828  0.000196902 0.0337608 -0.985136 -0.00663762 
-15.3763 -0.366672  0.000198616 0.0338065 -0.984513 0.0367746 
-15.3642 0.0114871  0.000195855 0.0337328 -0.98216 0.0794528 
-15.3434 0.388212  0.000189955 0.0335733 -0.978305 0.119858 
-15.3109 0.777075  0.000178428 0.0332513 -0.974032 0.152884 
-15.2715 1.15623  0.000172039 0.0330667 -0.964504 0.205787 
-15.2457 1.42685  0.00014901 0.0323566 -0.961158 0.223447 
-15.1891 1.77305  0.000145951 0.0322562 -0.949403 0.267245 
-14.7368 -4.50501  8.1209e-05 0.0296106 -0.89061 -0.426571 
-14.8564 -4.10127  0.00010319 0.0306482 -0.912455 -0.377552 
-14.9026 -3.83297  0.000130693 0.0317299 -0.921831 -0.352707 
-14.9512 -3.52397  0.000167234 0.0329246 -0.931607 -0.322469 
-15.0229 -3.1183  0.000190454 0.0335869 -0.945371 -0.277578 
-15.0768 -2.73428  0.000227275 0.03453 -0.95717 -0.230376 
-15.1232 -2.33807  0.000260389 0.0352861 -0.966711 -0.183413 
-15.1596 -1.95259  0.000279619 0.0356922 -0.973089 -0.145846 
