111
308.954 307.457 293.659 254.294 194.114 133.684 85.5192 51.7384 28.0071 13.7862 6.18042 2.48314 0.866655 0.247257 0.0491807 
308.985 307.604 293.984 254.698 194.242 133.618 85.1615 51.091 27.4026 13.396 5.97416 2.39461 0.837329 0.240563 0.0483438 
309.033 307.866 294.576 255.496 194.845 134.087 85.0997 50.4358 26.7598 12.9974 5.77543 2.31823 0.818487 0.239129 0.0497003 
309.085 308.145 295.382 256.834 196.562 135.438 85.5492 50.4747 26.5706 12.8026 5.63222 2.2337 0.778131 0.224063 0.0456409 
309.114 308.372 296.398 258.534 199.034 137.686 87.5671 50.9037 27.1926 13.0645 5.66695 2.17565 0.714068 0.187193 0.0325755 
309.095 308.332 296.768 260.247 201.187 140.189 90.3016 53.9512 29.977 14.9969 6.86769 2.83283 1.02308 0.306154 0.0659507 
309.008 307.811 295.781 260.043 203.233 143.653 94.6851 57.9118 32.6093 16.6032 7.72238 3.22275 1.17097 0.348809 0.0731906 
308.848 306.895 293.438 256.761 201.35 144.747 96.1744 58.3404 32.245 16.1118 7.2268 2.84325 0.945517 0.247521 0.0426685 
308.639 305.729 290.308 250.977 194.562 138.322 90.917 55.578 30.7982 15.7065 7.31611 3.05005 1.10167 0.322915 0.0651527 
308.428 304.674 287.888 247.269 189.209 132.694 86.2382 51.2593 27.8639 13.922 6.3455 2.58662 0.90928 0.258345 0.0499082 
308.262 303.97 287.149 246.781 189.051 132.458 84.4348 49.6281 26.2752 12.6947 5.56114 2.17635 0.739641 0.206992 0.0411469 
308.183 303.749 287.058 247.11 189.755 132.702 85.6307 51.9968 29.3887 15.1999 7.29422 3.21745 1.27905 0.439068 0.115367 
308.204 303.888 287.008 246.446 187.959 130.347 84.788 52.3004 30.1342 16.0149 7.9483 3.62526 1.47665 0.507517 0.128064 
308.306 304.305 287.426 246.738 187.918 129.454 83.398 48.9589 26.1665 12.7731 5.63554 2.19574 0.726632 0.189709 0.0323571 
308.452 304.966 288.855 249.137 190.818 132.383 86.2937 51.4527 27.7917 13.6242 6.02289 2.35104 0.783502 0.208745 0.0376153 
308.603 305.687 290.396 251.536 193.641 135.61 89.7381 56.9493 32.5136 17.0545 8.23055 3.57919 1.3618 0.427723 0.0951093 
308.736 306.388 291.703 252.822 194.291 136.289 89.87 57.7475 33.3256 17.6679 8.64613 3.82592 1.48303 0.475345 0.108999 
308.838 306.896 292.586 253.47 194.107 135.015 88.2907 55.1962 31.0332 15.93 7.48282 3.15024 1.14596 0.337096 0.0687261 
308.904 307.211 293.137 253.979 194.106 134.245 86.5765 53.0601 29.219 14.6096 6.65521 2.70986 0.954726 0.272126 0.0537945 
308.938 307.381 293.491 254.201 194.098 133.783 85.8026 52.169 28.3588 14.0163 6.30856 2.54186 0.88828 0.252689 0.0501444 
211
296.817 295.506 282.985 246.585 189.666 131.428 84.4373 51.2304 27.7916 13.7017 6.14968 2.47297 0.863712 0.246561 0.0490678 
296.846 295.648 283.3 246.984 189.802 131.371 84.0883 50.5919 27.1929 13.3142 5.94453 2.38482 0.834483 0.239884 0.0482322 
296.893 295.898 283.871 247.768 190.402 131.839 84.0312 49.946 26.5564 12.9185 5.74686 2.30875 0.815698 0.23845 0.0495843 
296.942 296.163 284.64 249.059 192.074 133.169 84.4788 49.9868 26.3701 12.7256 5.60464 2.22467 0.775513 0.223434 0.0455357 
296.97 296.378 285.597 250.683 194.472 135.37 86.4686 50.4161 26.9882 12.9864 5.63952 2.167 0.711722 0.186685 0.0325034 
296.952 296.338 285.927 252.298 196.547 137.815 89.1597 53.4256 29.745 14.9042 6.83311 2.82102 1.01952 0.305262 0.0657923 
296.869 295.843 284.971 252.054 198.488 141.186 93.4687 57.3405 32.3555 16.5005 7.68365 3.20944 1.16694 0.34781 0.0730184 
296.717 294.973 282.736 248.868 196.612 142.224 94.9267 57.7678 32.0003 16.0154 7.19197 2.83209 0.94247 0.246866 0.0425771 
296.517 293.862 279.755 243.312 190.004 135.91 89.7322 55.0244 30.5607 15.6105 7.28001 3.03772 1.09799 0.322024 0.065006 
296.315 292.849 277.417 239.721 184.798 130.395 85.1193 50.7528 27.6502 13.8374 6.31431 2.5762 0.906254 0.257635 0.0497965 
296.156 292.165 276.66 239.19 184.612 130.156 83.3457 49.139 26.0743 12.6176 5.53376 2.16751 0.737139 0.206407 0.0410505 
296.08 291.945 276.54 239.464 185.249 130.357 84.496 51.4599 29.1466 15.0992 7.25445 3.20278 1.27412 0.437637 0.115053 
296.1 292.077 276.512 238.847 183.514 128.05 83.6579 51.7557 29.8843 15.9087 7.90533 3.60906 1.47115 0.505939 0.127736 
296.197 292.482 276.944 239.178 183.527 127.219 82.3179 48.4766 25.9668 12.6959 5.60814 2.18704 0.724268 0.189203 0.0322875 
296.337 293.118 278.323 241.493 186.353 130.097 85.1757 50.9443 27.5787 13.5416 5.99346 2.34165 0.780921 0.208177 0.037532 
296.482 293.81 279.811 243.807 189.084 133.24 88.5544 56.3638 32.2529 16.9461 8.18823 3.56408 1.35704 0.426483 0.0948838 
296.609 294.48 281.077 245.075 189.741 133.914 88.6864 57.1517 33.0564 17.5547 8.60128 3.80961 1.47779 0.473952 0.108737 
296.706 294.967 281.937 245.74 189.605 132.696 87.1474 54.6388 30.7881 15.83 7.44479 3.1371 1.142 0.336133 0.0685662 
296.769 295.27 282.477 246.26 189.635 131.963 85.4712 52.5336 28.9918 14.5193 6.62187 2.69871 0.951473 0.271359 0.0536712 
