7.35 12229.4
-14.075 -2.15794  0.000141483 0.0321068 -0.964643 -0.197205 
-14.126 -1.72961  0.000141456 0.0321058 -0.975798 -0.134967 
-14.1518 -1.36521  0.000155704 0.032571 -0.981034 -0.0875951 
-14.1635 -1.03891  0.000165971 0.0328868 -0.983819 -0.04414 
-14.1669 -0.727874  0.000170699 0.0330273 -0.984739 -0.00286429 
-14.1633 -0.418996  0.000170784 0.0330298 -0.983987 0.0380113 
-14.1519 -0.100068  0.000165197 0.0328634 -0.981517 0.0798276 
-14.1279 0.250456  0.000154545 0.0325343 -0.976995 0.124042 
-14.0812 0.658785  0.000161979 0.0327657 -0.967104 0.182382 
-13.8179 -3.03493  0.000152111 0.0324567 -0.933176 -0.314822 
-13.8745 -2.70666  0.000180501 0.0333103 -0.949754 -0.260266 
-13.9033 -2.43894  0.000212098 0.0341556 -0.955638 -0.235618 
-13.936 -2.11006  0.00025615 0.0351935 -0.965276 -0.186722 
-13.969 -1.74166  0.000271725 0.0355281 -0.972925 -0.140317 
-13.9883 -1.40001  0.000301356 0.0361265 -0.977758 -0.0957552 
-13.9989 -1.07025  0.000321485 0.0365083 -0.980764 -0.0510224 
-14.0027 -0.742531  0.000331537 0.0366922 -0.98194 -0.00649451 
-13.9999 -0.418395  0.000334754 0.03675 -0.981277 0.0372878 
-13.9912 -0.0997997  0.000328693 0.0366405 -0.978967 0.079574 
-13.9756 0.220756  0.000311105 0.0363138 -0.975371 0.119133 
-13.9499 0.559164  0.00030246 0.0361479 -0.969876 0.158717 
-13.9232 0.867838  0.000285256 0.0358073 -0.961419 0.20576 
-13.902 1.11391  0.000249174 0.0350385 -0.957861 0.224331 
-13.8624 1.39688  0.000236468 0.0347477 -0.945551 0.269924 
-13.492 -3.90715  0.000136301 0.0319286 -0.887308 -0.427315 
-13.5795 -3.57568  0.000174163 0.0331286 -0.911147 -0.373587 
-13.6141 -3.33871  0.000224847 0.0344713 -0.918576 -0.353124 
-13.6491 -3.07179  0.000280585 0.035712 -0.928185 -0.323379 
-13.7009 -2.73205  0.00033138 0.0366893 -0.942968 -0.273966 
-13.7392 -2.41071  0.000391523 0.0377101 -0.953398 -0.231359 
-13.7722 -2.08027  0.000439439 0.0384419 -0.962945 -0.184712 
-13.7994 -1.74924  0.000473944 0.0389327 -0.969723 -0.144278 
-13.8184 -1.42323  0.000514066 0.0394707 -0.974821 -0.100868 
-13.8305 -1.09462  0.000541263 0.0398178 -0.9782 -0.056226 
