7.65 12232.6
-14.3645 -2.21702  0.000127124 0.0316003 -0.965384 -0.19672 
-14.4189 -1.77019  0.000126064 0.031561 -0.97637 -0.135507 
-14.4462 -1.39154  0.000137823 0.0319815 -0.981682 -0.0879024 
-14.4588 -1.05216  0.000146644 0.0322791 -0.984506 -0.0441917 
-14.4625 -0.728741  0.000150891 0.0324176 -0.98543 -0.00290426 
-14.4587 -0.407605  0.000151009 0.0324214 -0.984683 0.0379415 
-14.4465 -0.0760973  0.000146374 0.0322702 -0.982191 0.0799528 
-14.4212 0.28775  0.000137654 0.0319756 -0.977602 0.124509 
-14.3715 0.71335  0.000144742 0.0322161 -0.967962 0.181528 
-14.0979 -3.12938  0.000134683 0.0318719 -0.933883 -0.314826 
-14.1596 -2.78484  0.000159582 0.0326921 -0.950317 -0.260829 
-14.1901 -2.50964  0.000186741 0.0334849 -0.956387 -0.235648 
-14.2257 -2.16595  0.000227719 0.0345406 -0.96616 -0.185992 
-14.261 -1.78387  0.000240963 0.0348519 -0.973593 -0.140997 
-14.2818 -1.42879  0.000266139 0.0354099 -0.978537 -0.0960386 
-14.2933 -1.08557  0.000283889 0.0357795 -0.981585 -0.0510597 
-14.2974 -0.744497  0.000292997 0.0359624 -0.982765 -0.00659056 
-14.2945 -0.40724  0.000295914 0.0360201 -0.982112 0.0371087 
-14.285 -0.0759339  0.000291026 0.0359232 -0.979785 0.079536 
-14.2684 0.256539  0.000276709 0.0356321 -0.976122 0.119378 
-14.241 0.606551  0.000267474 0.0354382 -0.970909 0.157421 
-14.2118 0.929607  0.000253838 0.0351425 -0.962151 0.205979 
-14.1895 1.18111  0.000220817 0.034373 -0.958787 0.223777 
-14.1462 1.47779  0.000211381 0.0341374 -0.946442 0.269544 
-13.7584 -4.03534  0.000120624 0.0313562 -0.888069 -0.427297 
-13.853 -3.68786  0.000153953 0.0325156 -0.911647 -0.374202 
-13.8898 -3.44465  0.000198969 0.0338158 -0.91933 -0.353175 
-13.9277 -3.16879  0.000248239 0.0350176 -0.929025 -0.32328 
-13.9839 -2.81438  0.000291398 0.0359306 -0.943614 -0.274775 
-14.0254 -2.48013  0.000344972 0.0369314 -0.954283 -0.231426 
-14.0612 -2.13565  0.000388279 0.0376581 -0.963893 -0.184529 
-14.0905 -1.79261  0.000418294 0.0381267 -0.970586 -0.144759 
-14.111 -1.45351  0.00045292 0.038637 -0.975771 -0.100982 
-14.1242 -1.1115  0.000477197 0.0389776 -0.979171 -0.0562611 
-14.1295 -0.768438  0.000493297 0.0391964 -0.980624 -0.0120301 
-14.1272 -0.431091  0.000504738 0.0393485 -0.980168 0.0309692 
-14.1183 -0.105957  0.00051052 0.0394245 -0.978026 0.0720395 
-14.1045 0.203923  0.000505834 0.0393629 -0.974687 0.109391 
-14.0865 0.504242  0.0004884 0.0391303 -0.970872 0.140755 
-14.0648 0.802215  0.000488537 0.0391322 -0.964718 0.177651 
-14.0445 1.07618  0.000458331 0.0387141 -0.95941 0.207182 
-14.0158 1.36503  0.000430231 0.0383062 -0.951566 0.24242 
-13.9898 1.62725  0.000390756 0.0376979 -0.942432 0.277946 
-13.9695 1.8432  0.000330106 0.0366662 -0.938259 0.293557 
-13.9202 2.10807  0.000301448 0.0361283 -0.924645 0.331725 
-13.3635 -4.77845  0.000119792 0.0313243 -0.838177 -0.518008 
-13.4884 -4.43273  0.000154877 0.0325448 -0.864618 -0.472983 
-13.548 -4.16249  0.000214336 0.0342121 -0.874458 -0.452028 
-13.623 -3.83769  0.000270665 0.0355058 -0.893804 -0.409649 
-13.6841 -3.52528  0.000352512 0.0370627 -0.908628 -0.371991 
-13.7399 -3.20818  0.000418955 0.0381368 -0.923736 -0.330147 
-13.7999 -2.86247  0.000466807 0.0388334 -0.937526 -0.28798 
-13.853 -2.51313  0.000538362 0.0397814 -0.949924 -0.242175 
-13.8975 -2.16558  0.000594121 0.0404564 -0.960426 -0.196046 
-13.9321 -1.82404  0.000642265 0.0410022 -0.96832 -0.152311 
-13.9574 -1.48236  0.000687909 0.0414919 -0.974198 -0.107064 
-13.9738 -1.13856  0.000722563 0.0418475 -0.978017 -0.0620076 
-13.9809 -0.797339  0.000750992 0.04213 -0.979741 -0.0182575 
-13.9791 -0.463689  0.000776483 0.0423765 -0.979515 0.023822 
-13.9697 -0.142236  0.000799471 0.0425937 -0.977575 0.0638793 
-13.9544 0.16231  0.000816595 0.0427523 -0.97432 0.100816 
-13.9354 0.44919  0.000822014 0.0428021 -0.970359 0.132891 
-13.9135 0.723893  0.000835697 0.0429264 -0.965458 0.162805 
-13.8915 0.984891  0.000841311 0.042977 -0.960143 0.190642 
-13.8706 1.2353  0.000818557 0.0427703 -0.955249 0.214306 
-13.8529 1.47506  0.000794026 0.0425426 -0.949668 0.238696 
-13.84 1.6978  0.000727229 0.0418945 -0.944378 0.261669 
-13.8187 1.93585  0.000657177 0.0411649 -0.93654 0.29008 
-13.782 2.19583  0.000573249 0.0402096 -0.926345 0.322236 
-13.7163 2.48459  0.000582994 0.0403257 -0.910703 0.359755 
-13.0321 -5.21085  0.000147817 0.0323177 -0.801937 -0.572517 
-13.1613 -4.87152  0.000202398 0.0339061 -0.82298 -0.540492 
-13.273 -4.52327  0.000279117 0.0356819 -0.849484 -0.495011 
-13.3425 -4.2278  0.000375888 0.0374566 -0.866092 -0.462204 
-13.4136 -3.92116  0.000450295 0.0385995 -0.88367 -0.425969 
-13.4884 -3.59933  0.000534598 0.0397339 -0.900388 -0.387974 
-13.5628 -3.26361  0.00062254 0.0407824 -0.917768 -0.343658 
-13.6321 -2.92118  0.000690063 0.0415143 -0.932887 -0.300317 
-13.6924 -2.57546  0.000770768 0.0423217 -0.945668 -0.2563 
-13.7438 -2.22518  0.000845281 0.0430127 -0.9568 -0.2101 
-13.7847 -1.87465  0.000917785 0.0436424 -0.965685 -0.163255 
-13.815 -1.52386  0.000982608 0.0441745 -0.972264 -0.11623 
-13.8347 -1.17477  0.00103722 0.0446028 -0.976559 -0.0701117 
-13.8438 -0.831453  0.0010869 0.0449778 -0.978632 -0.0257233 
-13.843 -0.497509  0.00113417 0.0453228 -0.978701 0.016589 
-13.8336 -0.176318  0.00118055 0.045651 -0.977053 0.0563628 
-13.8175 0.128486  0.00122848 0.0459802 -0.97406 0.0929323 
-13.7971 0.413273  0.00127805 0.0463106 -0.970208 0.125271 
-13.7743 0.677178  0.0013362 0.046686 -0.965802 0.15335 
-13.7518 0.918502  0.00139241 0.0470374 -0.961277 0.177144 
-13.7323 1.13727  0.00141284 0.0471625 -0.957407 0.195559 
-13.7171 1.33973  0.00140099 0.0470901 -0.953932 0.210933 
-13.707 1.534  0.001352 0.0467859 -0.949883 0.22842 
-13.7012 1.7274  0.00126345 0.0462143 -0.945062 0.248697 
-13.6954 1.93032  0.00114588 0.0454067 -0.939216 0.271724 
-13.6833 2.14845  0.000991969 0.0442491 -0.933993 0.292045 
-13.6479 2.40639  0.000952399 0.0439299 -0.922908 0.323812 
-12.7518 -5.5338  0.000182158 0.033357 -0.770542 -0.613508 
-12.8757 -5.21319  0.000268947 0.0354695 -0.796736 -0.576788 
-12.982 -4.88775  0.000355121 0.0371077 -0.819751 -0.541103 
-13.0678 -4.58202  0.000460401 0.0387433 -0.838419 -0.509307 
-13.1476 -4.28545  0.000578548 0.0402729 -0.856801 -0.476011 
-13.231 -3.979  0.000677489 0.0413822 -0.876358 -0.438379 
-13.3152 -3.66069  0.000773601 0.0423489 -0.894412 -0.39987 
-13.3969 -3.32916  0.000873415 0.0432617 -0.911533 -0.358358 
-13.4727 -2.98809  0.000970557 0.0440777 -0.927331 -0.314503 
-13.5392 -2.64154  0.00107006 0.0448521 -0.940992 -0.269664 
-13.596 -2.28848  0.0011647 0.04554 -0.952763 -0.22304 
-13.6421 -1.93133  0.0012604 0.0461941 -0.962363 -0.175087 
-13.6768 -1.57348  0.00135036 0.0467755 -0.9696 -0.126972 
-13.6997 -1.21904  0.00143435 0.0472927 -0.97442 -0.0799012 
-13.711 -0.872213  0.00151626 0.0477755 -0.976923 -0.0347424 
-13.7118 -0.536561  0.0015967 0.0482307 -0.977382 0.00787363 
-13.7035 -0.215404  0.00167953 0.0486818 -0.976147 0.0473006 
-13.688 0.0880188  0.00177544 0.0491834 -0.97359 0.0831155 
-13.6677 0.370116  0.00189381 0.049775 -0.970055 0.115086 
-13.6451 0.627398  0.0020264 0.0504038 -0.966023 0.142309 
-13.6231 0.857983  0.00214948 0.0509622 -0.962051 0.164307 
-13.6037 1.06303  0.00222995 0.051312 -0.958581 0.181362 
-13.5882 1.24832  0.00225501 0.0514206 -0.955504 0.195404 
-13.5778 1.41943  0.00221974 0.0512679 -0.952303 0.209418 
-13.574 1.57923  0.00213115 0.0508796 -0.948999 0.223404 
-13.5773 1.73259  0.00199237 0.0502441 -0.945745 0.237134 
-13.5859 1.88929  0.00179731 0.049295 -0.942144 0.252506 
-13.5956 2.05823  0.00154429 0.0479361 -0.939294 0.26585 
-13.5924 2.26554  0.00133962 0.0467078 -0.935033 0.282549 
-13.57 2.50629  0.00131493 0.0465501 -0.91935 0.327323 
-12.5077 -5.7928  0.000234596 0.0347041 -0.747221 -0.640584 
-12.6137 -5.50316  0.000344293 0.0369195 -0.772689 -0.607304 
-12.7116 -5.19849  0.000473841 0.0389313 -0.793432 -0.576629 
-12.7997 -4.90598  0.000605128 0.0405841 -0.814077 -0.545308 
-12.8803 -4.62953  0.000727088 0.0418931 -0.831376 -0.517867 
-12.965 -4.34599  0.000846203 0.0430209 -0.849083 -0.487804 
-13.0556 -4.04502  0.000962742 0.0440144 -0.868109 -0.452518 
-13.1465 -3.72923  0.00108274 0.0449468 -0.886736 -0.414097 
-13.2339 -3.40019  0.00120217 0.0458008 -0.904399 -0.372956 
-13.3149 -3.05965  0.00132344 0.0466048 -0.92076 -0.329183 
-13.3869 -2.71035  0.00144732 0.0473705 -0.935316 -0.283455 
-13.4489 -2.35358  0.00156717 0.0480656 -0.947894 -0.236023 
-13.4995 -1.99189  0.00168936 0.0487341 -0.958192 -0.187552 
-13.538 -1.62939  0.00181232 0.0493709 -0.966055 -0.138968 
-13.5641 -1.27099  0.00193613 0.0499797 -0.971437 -0.0914484 
-13.5781 -0.921486  0.00206248 0.0505701 -0.974465 -0.0460147 
-13.5811 -0.584908  0.00219168 0.0511464 -0.975449 -0.00354382 
-13.5749 -0.264731  0.00233261 0.0517466 -0.97476 0.0353654 
-13.5613 0.0359369  0.00250364 0.0524408 -0.972715 0.0706709 
-13.5427 0.313713  0.00271285 0.0532393 -0.969622 0.102196 
